NAME,STREET,POST_CODE,CITY,LONGITUDE,LATITUDE,HUMIDITY_AVG,PRESSURE_AVG,TEMPERATURE_AVG,PM10_AVG,PM25_AVG,TIMESTAMP
SZKOŁA PODSTAWOWA NR 1 W BIAŁYM BORZE, UL. DWORCOWA, 78-425, BIAŁY BÓR,16.84535152,53.89895274, 52.709090909090904, 985.6727272727272, 23.018181818181816,4.399999999999999,3.736363636363636, 2026-07-25 13:49:23
SZKOŁA PODSTAWOWA IM.NOBLISTÓW POLSKICH W SIEMYŚLU, UL. SZKOLNA, 78-123, SIEMYŚL,15.53351351,54.02888072, 51.425000000000004, 1002.5083333333333, 24.491666666666664,6.508333333333333,5.891666666666668, 2026-07-25 13:49:23
SZKOŁA PODSTAWOWA W DASZEWIE, , 78-230, DASZEWO,15.881284,54.081214, 60.98333333333333, 1002.5083333333333, 22.90833333333333,4.05,3.791666666666666, 2026-07-25 13:49:23
SZKOŁA PODSTAWOWA NR 1 IM. ADAMA MICKIEWICZA W POŁCZYNIE-ZDROJU, UL. GRUNWALDZKA, 78-320, POŁCZYN-ZDRÓJ,16.095199000000004,53.76789333949964, 41.925000000000004, 996.1916666666666, 26.008333333333336,7.133333333333333,6.774999999999999, 2026-07-25 13:49:23
SZKOŁA PODSTAWOWA W DARGINI, , 76-020, DARGIŃ,16.3943428,54.0157172, 47.23333333333333, 994.8499999999999, 24.816666666666666,4.033333333333333,3.766666666666667, 2026-07-25 13:49:23
ARCHIDIECEZJALNA SZKOŁA MUZYCZNA II ST. IM. KS. KARD. FRANCISZKA MACHARSKIEGO W KRAKOWIE, UL. PROSTA, 30-814, KRAKÓW-PODGÓRZE,19.988467,50.020869, 34.7, 984.6500000000001, 25.5,3.2,2.65, 2026-07-25 13:49:23
SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 30 IM. KAZIMIERZA PUŁASKIEGO W KRAKOWIE, UL. KONFEDERACKA, 30-306, KRAKÓW-PODGÓRZE,19.927626,50.048977, 37.97272727272727, 986.5636363636364, 25.472727272727273,3.181818181818181,2.590909090909091, 2026-07-25 13:49:23
SPOŁECZNA SZKOŁA PODSTAWOWA NR 2 SPOŁECZNEGO TOWARZYSTWA OŚWIATOWEGO W TARNOWIE, UL. JANA MATEJKI, 33-100, TARNÓW,20.98127883,50.01473267, 40.24545454545454, 1000.8181818181819, 24.09090909090909,5.227272727272727,4.518181818181818, 2026-07-25 13:49:23
XII LICEUM OGÓLNOKSZTAŁCĄCE W ZESPOLE SZKÓŁ MECHANICZNO-ELEKTRYCZNYCH W TARNOWIE, UL. JÓZEFA SZUJSKIEGO, 33-100, TARNÓW,20.975575,50.015268, 36.233333333333334, 987.2416666666667, 26.791666666666668,4.383333333333334,3.8, 2026-07-25 13:49:23
TECHNIKUM NR 1 W ZESPOLE SZKÓŁ TECHNICZNYCH IM.IGNACEGO MOŚCICKIEGO W TARNOWIE, UL. EUGENIUSZA KWIATKOWSKIEGO, 33-101, TARNÓW,20.9172948,50.01387361, 42.627272727272725, 987.4818181818181, 24.281818181818185,2.954545454545454,2.563636363636363, 2026-07-25 13:49:23
SZKOŁA PODSTAWOWA W ZESPOLE SZKÓŁ IM.MĘCZENNIKÓW MARSZU ŚMIERCI KL STUTTHOF W GARCZEGORZU, , 84-351, GARCZEGORZE,17.72784195,54.59420501, 61.90909090909091, 999.8636363636364, 23.39090909090909,6.018181818181818,5.418181818181818, 2026-07-25 13:49:23
PUBLICZNA SZKOŁA PODSTAWOWA NR 1 IM.BOHATERÓW WESTERPLATTE W PRUDNIKU, UL. PODGÓRNA, 48-200, PRUDNIK,17.595989,50.32052, 36.57272727272727, 979.3090909090909, 28.2,4.2,3.745454545454545, 2026-07-25 13:49:23
ZESPÓŁ SZKÓŁ GMINNYCH IM. MIKOŁAJA KOPERNIKA W GAWŁOWIE SZKOŁA PODSTAWOWA Z ODDZIAŁAMI SPORTOWYMI W GAWŁOWIE, , 32-711, GAWŁÓW,20.463199,50.026547, 32.36363636363637, 988.6909090909091, 28.09090909090909,1.136363636363636,1.027272727272727, 2026-07-25 13:49:23
