smog_data,it_has_next_page,pages_total
"{'school': {'name': 'SZKOŁA PODSTAWOWA IM. MARKA PRAWEGO W JEMIELNICY', 'street': 'SZKOLNA', 'post_code': '47-133', 'city': 'JEMIELNICA', 'longitude': '18.380122', 'latitude': '50.548993'}, 'data': {'humidity_avg': 48.5, 'pressure_avg': 990.6, 'temperature_avg': 26.0, 'pm10_avg': 3.1, 'pm25_avg': 1.8266666666666662}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'SZKOŁA PODSTAWOWA NR 2 IM. ŚW. JADWIGI ŚLĄSKIEJ W PSZCZYNIE', 'street': 'KATOWICKA', 'post_code': '43-200', 'city': 'PSZCZYNA', 'longitude': '18.947994', 'latitude': '49.992568'}, 'data': {'humidity_avg': 49.833333333333336, 'pressure_avg': 989.6666666666666, 'temperature_avg': 21.900000000000002, 'pm10_avg': 1.033333333333333, 'pm25_avg': 0.5566666666666661}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'ZESPÓŁ SZKÓŁ SPECJALNYCH W OSTROWCU ŚWIĘTOKRZYSKIM', 'street': 'IŁZECKA', 'post_code': '27-400', 'city': 'OSTROWIEC ŚWIĘTOKRZYSKI', 'longitude': '21.386931', 'latitude': '50.942931'}, 'data': {'humidity_avg': 99.90000000000002, 'pressure_avg': 1003.5666666666666, 'temperature_avg': 25.933333333333334, 'pm10_avg': 0.7000000000000001, 'pm25_avg': 0.336666666666666}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W JANKOWICACH', 'street': 'BAZIOWA', 'post_code': '43-215', 'city': 'JANKOWICE', 'longitude': '18.989423', 'latitude': '50.002529'}, 'data': {'humidity_avg': 29.0, 'pressure_avg': 936.9, 'temperature_avg': 23.3, 'pm10_avg': 28.0, 'pm25_avg': 17.0}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'SZKOŁA PODSTAWOWA NR 4 IM. JÓZEFA PUKOWCA W PSZCZYNIE', 'street': 'ZYGMUNTA KRASIŃSKIEGO', 'post_code': '43-200', 'city': 'PSZCZYNA', 'longitude': '18.961125', 'latitude': '49.971182'}, 'data': {'humidity_avg': 47.56666666666666, 'pressure_avg': 984.8666666666668, 'temperature_avg': 25.133333333333336, 'pm10_avg': 0.30000000000000004, 'pm25_avg': 0.173333333333333}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'ZESPÓŁ SZKÓŁ W OTMUCHOWIE', 'street': 'KRAKOWSKA', 'post_code': '48-385', 'city': 'OTMUCHÓW', 'longitude': '17.167634', 'latitude': '50.4705'}, 'data': {'humidity_avg': 34.23333333333333, 'pressure_avg': 981.7333333333332, 'temperature_avg': 24.166666666666668, 'pm10_avg': 1.8, 'pm25_avg': 0.93}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'SZKOŁA PODSTAWOWA NR 6\xa0IM. IGNACEGO ŁUKASZEWICZA W CZECHOWICACH-DZIEDZICACH', 'street': 'UL. ŁUKASIEWICZA', 'post_code': '43-502', 'city': 'CZECHWICE-DZIEDZICE', 'longitude': '19.016493', 'latitude': '49.899404'}, 'data': {'humidity_avg': 40.96666666666667, 'pressure_avg': 975.0333333333333, 'temperature_avg': 24.96666666666667, 'pm10_avg': 0.6666666666666661, 'pm25_avg': 0.383333333333333}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'SZKOŁA PODSTAWOWA NR 4 IM. GUSTAWA MORCINKA W SŁUPSKU', 'street': 'UL. LESZCZYŃSKIEGO', 'post_code': '76-200', 'city': 'SŁUPSK', 'longitude': '17.005017', 'latitude': '54.475286'}, 'data': {'humidity_avg': 43.73333333333333, 'pressure_avg': 1002.5, 'temperature_avg': 26.099999999999998, 'pm10_avg': 5.399999999999999, 'pm25_avg': 2.6133333333333333}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'SZKOŁA PODSTAWOWA W KLESZCZOWIE', 'street': 'UL. SZKOLNA', 'post_code': '44-164', 'city': 'KLESZCZÓW', 'longitude': '18.527510', 'latitude': '50.344057'}, 'data': {'humidity_avg': 61.9, 'pressure_avg': 992.9, 'temperature_avg': 21.2, 'pm10_avg': 0.0, 'pm25_avg': 0.0}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'SZKOŁA PODSTAWOWA NR 5 IM. GRYFITÓW W SŁUPSKU', 'street': 'UL. HUBALCZYKÓW', 'post_code': '76-200', 'city': 'SŁUPSK', 'longitude': '17.062723', 'latitude': '54.455744'}, 'data': {'humidity_avg': 49.300000000000004, 'pressure_avg': 1001.2666666666668, 'temperature_avg': 24.400000000000002, 'pm10_avg': 3.166666666666666, 'pm25_avg': 1.753333333333333}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W POTĘPIE', 'street': 'UL. TARNOGÓRSKA', 'post_code': '42-693', 'city': 'POTĘPA', 'longitude': '18.662519', 'latitude': '50.565309'}, 'data': {'humidity_avg': 99.90000000000002, 'pressure_avg': 1007.0, 'temperature_avg': 25.933333333333334, 'pm10_avg': 1.4333333333333331, 'pm25_avg': 0.736666666666666}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'SZKOŁA PODSTAWOWA NR 3 IM. JANA PAWŁA II W PSZCZYNIE', 'street': 'UL. STAROMIEJSKA', 'post_code': '43-200', 'city': 'PSZCZYNA', 'longitude': '18.92452', 'latitude': '49.98849'}, 'data': {'humidity_avg': 40.971428571428575, 'pressure_avg': 982.2857142857143, 'temperature_avg': 23.87142857142857, 'pm10_avg': 4.128571428571428, 'pm25_avg': 3.6999999999999993}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'SZKOŁA PODSTAWOWA IM. MIKOŁAJA REJA W GORZYCZKACH', 'street': 'UL. WIEJSKA', 'post_code': '44-350', 'city': 'GORZYCZKI', 'longitude': '18.399689', 'latitude': '49.944774'}, 'data': {'humidity_avg': 48.43333333333334, 'pressure_avg': 982.2333333333332, 'temperature_avg': 25.933333333333334, 'pm10_avg': 0.133333333333333, 'pm25_avg': 0.08}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'SZKOŁA PODSTAWOWA NR 6 IM. LUDWIKA WARYŃSKIEGO W SŁUPSKU', 'street': 'UL. STARZYŃSKIEGO', 'post_code': '76-200', 'city': 'SŁUPSK', 'longitude': '17.023811', 'latitude': '54.465980'}, 'data': {'humidity_avg': 77.10000000000001, 'pressure_avg': 1005.7333333333332, 'temperature_avg': 23.633333333333336, 'pm10_avg': 1.4, 'pm25_avg': 0.75}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'SZKOŁA PODSTAWOWA IM. JANA BRZECHWY W KOBIÓRZE', 'street': 'UL. TUWIMA', 'post_code': '43-210', 'city': 'KOBIÓR', 'longitude': '18.930274', 'latitude': '50.060752'}, 'data': {'humidity_avg': 5.0, 'pressure_avg': 986.0333333333333, 'temperature_avg': 25.633333333333336, 'pm10_avg': 3.066666666666666, 'pm25_avg': 1.8066666666666662}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'SZKOŁA PODSTAWOWA W PONISZOWICACH', 'street': 'UL. GLIWICKA', 'post_code': '44-172', 'city': 'PONISZOWICE', 'longitude': '18.458674', 'latitude': '50.409220'}, 'data': {'humidity_avg': 39.53333333333333, 'pressure_avg': 981.4, 'temperature_avg': 30.633333333333336, 'pm10_avg': 0.033333333333333, 'pm25_avg': 0.016666666666666}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'SZKOŁA PODSTAWOWA IM. ORŁA BIAŁEGO W SOKOŁOWICACH', 'street': 'SOKOŁOWICE', 'post_code': '56-400', 'city': 'SOKOŁOWICE', 'longitude': '17.4469', 'latitude': '51.245'}, 'data': {'humidity_avg': 27.400000000000002, 'pressure_avg': 988.3666666666667, 'temperature_avg': 31.7, 'pm10_avg': 5.3, 'pm25_avg': 3.33}, 'timestamp': '2026-07-25 14:21:08'}",False,
"{'school': {'name': 'SZKOŁA PODSTAWOWA IM. UNICEF W LIGOCIE MAŁEJ', 'street': 'LIGOTA MAŁA', 'post_code': '56-400', 'city': 'LIGOTA MAŁA', 'longitude': '17.365476', 'latitude': '51.142467'}, 'data': {'humidity_avg': 36.733333333333334, 'pressure_avg': 966.0333333333333, 'temperature_avg': 25.866666666666664, 'pm10_avg': 4.966666666666667, 'pm25_avg': 2.913333333333333}, 'timestamp': '2026-07-25 14:21:08'}",False,
